Time(ms),RPM,MotorTemp,MCUTemp,Iq_Actual,Pot1,Pot2,Pot3,Pot4,Pot5,BrakeVolt,Ax,Ay,Az,RollRate,PitchRate,YawRate
2867959,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
2868566,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
2869173,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
2869780,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
2870387,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
2870994,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
2871601,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
2872208,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
2872815,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
2873422,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
2874029,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
2874636,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
2875243,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
2875850,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
2876457,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
2877064,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
2877671,7,20.5,0.0,0,1.57,1.51,0.0,1.83,0.36,0.52,0,0,0,0,0,0
